FILE NAME,DATE-OBS,EXPTIME,FILTER,AIRMASS,FWHM
2002LJ3_80s_b2x2-001_R.fit,2019-01-05T22:28:49,80s,R,"1,08499","2,6360"
2002LJ3_80s_b2x2-002_R.fit,2019-01-05T22:31:12,80s,R,"1,08183","2,6638"
2002LJ3_80s_b2x2-003_R.fit,2019-01-05T22:33:35,80s,R,"1,07880","2,4516"
2002LJ3_80s_b2x2-005_R.fit,2019-01-05T23:13:07,80s,R,"1,04733","2,8375"
2002LJ3_80s_b2x2-006_R.fit,2019-01-05T23:15:30,80s,R,"1,04650","3,1116"
2002LJ3_80s_b2x2-007_R.fit,2019-01-05T23:17:53,80s,R,"1,04579","2,8891"
2002LJ3_80s_b2x2-008_R.fit,2019-01-05T23:20:16,80s,R,"1,04520","2,7941"
2002LJ3_80s_b2x2-009_R.fit,2019-01-05T23:22:39,80s,R,"1,04472","2,8298"
2002LJ3_80s_b2x2-010_R.fit,2019-01-05T23:25:02,80s,R,"1,04435","3,0590"
2002LJ3_80s_b2x2-011_R.fit,2019-01-05T23:27:24,80s,R,"1,04411","2,8621"
2002LJ3_80s_b2x2-012_R.fit,2019-01-05T23:29:48,80s,R,"1,04398","2,7526"
2002LJ3_80s_b2x2-013_R.fit,2019-01-05T23:32:11,80s,R,"1,04396","3,0121"
2002LJ3_80s_b2x2-015_R.fit,2019-01-05T23:37:53,80s,R,"1,04437","2,8239"
2002LJ3_80s_b2x2-016_R.fit,2019-01-05T23:40:16,80s,R,"1,04475","2,8410"
2002LJ3_80s_b2x2-017_R.fit,2019-01-05T23:42:38,80s,R,"1,04524","2,6533"
2002LJ3_80s_b2x2-018_R.fit,2019-01-05T23:45:01,80s,R,"1,04585","2,8710"
2002LJ3_80s_b2x2-019_R.fit,2019-01-05T23:47:25,80s,R,"1,04658","2,9973"
2002LJ3_80s_b2x2-020_R.fit,2019-01-05T23:49:48,80s,R,"1,04743","2,6987"
2002LJ3_80s_b2x2-021_R.fit,2019-01-05T23:52:12,80s,R,"1,04840","2,8409"
2002LJ3_80s_b2x2-022_R.fit,2019-01-05T23:54:35,80s,R,"1,04948","2,9128"
2002LJ3_80s_b2x2-023_R.fit,2019-01-05T23:56:58,80s,R,"1,05068","3,0228"
2002LJ3_80s_b2x2-024_R.fit,2019-01-05T23:59:21,80s,R,"1,05200","2,7858"
2002LJ3_80s_b2x2-025_R.fit,2019-01-06T00:01:44,80s,R,"1,05344","3,0744"
2002LJ3_80s_b2x2-026_R.fit,2019-01-06T00:04:07,80s,R,"1,05500","3,2168"
2002LJ3_80s_b2x2-027_R.fit,2019-01-06T00:06:30,80s,R,"1,05668","2,9696"
2002LJ3_80s_b2x2-028_R.fit,2019-01-06T00:08:53,80s,R,"1,05848","3,0981"
2002LJ3_80s_b2x2-029_R.fit,2019-01-06T00:11:17,80s,R,"1,06043","3,2185"
2002LJ3_80s_b2x2-030_R.fit,2019-01-06T00:13:40,80s,R,"1,06248","3,0418"
2002LJ3_80s_b2x2-031_R.fit,2019-01-06T00:16:02,80s,R,"1,06465","2,9208"
2002LJ3_80s_b2x2-032_R.fit,2019-01-06T00:18:25,80s,R,"1,06695","3,2764"
2002LJ3_80s_b2x2-033_R.fit,2019-01-06T00:25:14,80s,R,"1,07427","3,3963"
2002LJ3_80s_b2x2-034_R.fit,2019-01-06T00:27:37,80s,R,"1,07708","3,4128"
2002LJ3_80s_b2x2-035_R.fit,2019-01-06T00:30:01,80s,R,"1,08005","3,2705"
2002LJ3_80s_b2x2-036_R.fit,2019-01-06T00:32:24,80s,R,"1,08313","3,4457"
2002LJ3_80s_b2x2-037_R.fit,2019-01-06T00:34:47,80s,R,"1,08636","3,2121"
2002LJ3_80s_b2x2-038_R.fit,2019-01-06T00:37:10,80s,R,"1,08972","3,7321"
2002LJ3_80s_b2x2-039_R.fit,2019-01-06T00:39:33,80s,R,"1,09323","3,5440"
2002LJ3_80s_b2x2-040_R.fit,2019-01-06T00:41:56,80s,R,"1,09688","3,5412"
2002LJ3_80s_b2x2-041_R.fit,2019-01-06T00:44:19,80s,R,"1,10067","3,4545"
2002LJ3_80s_b2x2-042_R.fit,2019-01-06T00:46:43,80s,R,"1,10465","3,2798"
2002LJ3_80s_b2x2-043_R.fit,2019-01-06T00:49:06,80s,R,"1,10875","3,6257"
2002LJ3_80s_b2x2-044_R.fit,2019-01-06T00:51:29,80s,R,"1,11300","3,4160"
2002LJ3_80s_b2x2-045_R.fit,2019-01-06T00:53:52,80s,R,"1,11741","3,4346"
2002LJ3_80s_b2x2-046_R.fit,2019-01-06T00:56:15,80s,R,"1,12198","3,3926"
2002LJ3_80s_b2x2-048_R.fit,2019-01-06T01:01:02,80s,R,"1,13165","3,1861"
2002LJ3_80s_b2x2-051_R.fit,2019-01-06T01:08:11,80s,R,"1,14738","3,8113"
2002LJ3_80s_b2x2-053_R.fit,2019-01-06T02:27:29,80s,R,"1,46548","2,9313"
2002LJ3_80s_b2x2-054_R.fit,2019-01-06T02:29:53,80s,R,"1,48102","2,9851"
2002LJ3_80s_b2x2-055_R.fit,2019-01-06T02:32:16,80s,R,"1,49696","2,8423"
2002LJ3_80s_b2x2-056_R.fit,2019-01-06T02:49:39,80s,R,"1,63026","2,6989"
2002LJ3_80s_b2x2-057_R.fit,2019-01-06T02:52:03,80s,R,"1,65134","2,7759"
2002LJ3_80s_b2x2-058_R.fit,2019-01-06T02:54:26,80s,R,"1,67302","3,2021"